3,100000
4,15000
8,12500
13,1699
17,1499
45,1200
50,1053
57,1000
58,750
135,640
179,535
231,495
236,450
297,425
334,399
382,329
683,305
868,300
924,290
1116,289
1176,248
1410,240
1638,225
2254,220
2569,215
2663,211
2872,200
3446,190
